identity,sharp_divergence,group_size
black,1.0643772243793292,11
jewish,1.0587467828311852,5
homosexual_gay_or_lesbian,1.0289952885165425,5
white,0.9667718326931057,28
psychiatric_or_mental_illness,0.9168196239182509,5
male,0.8839192656702056,50
muslim,0.8813509024016521,22
christian,0.7777976810320029,40
female,0.7751786709137554,49
