identity,prevalence,background_prevalence,risk_ratio,correlation,n_identity,n_background,CI_lower,CI_upper
jewish,0.36,0.08,4.5,0.25187904355953106,50,950,0.24138749651846733,0.498589831238873
muslim,0.7375,0.03804347826086957,19.385714285714286,0.6158018863813544,80,920,0.6318104033557183,0.8214259851149065
